# This file contains Irrigation restriction CDF's for the D,ND dissagreation 
# This file is intended to be used by the IID. 
# file generated by f_rest_to_cdf.py   Author: Bryn Gibson    Date: 2021-05-05 12:23:56.506818 
# restriction record use for generation C:\Users\dumon\python_projects\SLMACC-2020-CSRA\Climate_Shocks\supporting_data\restriction_record_detrend.csv 
# Event data record used for generation C:\Users\dumon\python_projects\SLMACC-2020-CSRA\Climate_Shocks\supporting_data\event_definition_data.csv 
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.9,0.8888888888888888,1.0,1.0,0.8181818181818181,0.7272727272727273,0.625,0.5,0.6000000000000001,0.125,0.4444444444444444,0.375
0.25,0.4,0.6666666666666666,0.6666666666666666,0.8,0.2727272727272727,0.18181818181818182,0.0,0.0,0.2,0.0,0.1111111111111111,0.125
0.5,0.0,0.4444444444444444,0.6666666666666666,0.2,0.2727272727272727,0.0,0.0,0.0,0.1,0.0,0.0,0.0
0.75,0.0,0.0,0.4444444444444444,0.2,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
