month,year,rain,tmax,tmin,radn,pet,doy,sma,tmean,month_mapper
1,1983.75,0.7943071863981669,21.97334345322469,10.656705254427045,20.4120633410334,4.4883865861539896,16.0,-8.521349198854274,16.29094858232667,1.0
2,1983.75,0.9469172873648624,22.165263495109578,10.62867894285106,18.01737879004786,3.6861057339190304,45.5,-14.554418678224998,16.548903371757294,2.0
3,1983.75,0.8781303314353426,20.16843811117453,8.91430973256766,13.616370471896778,2.664070694314116,75.0,-15.022744401396142,14.61940504694195,3.0
4,1983.75,0.9113900484042313,16.923735353303613,6.206771765936358,9.111089014015667,1.5845422787044976,105.5,-9.7639105849178,11.969240491378182,4.0
5,1983.75,1.0198282488119486,13.989521492253115,3.445864805692117,6.05273334034262,0.9471764098604102,136.0,-7.539660684241926,8.94273011268622,5.0
6,1983.75,1.0227833283714571,10.623322730366693,1.0615656231800288,4.53006491687846,0.6032691806314632,166.5,-1.7585494540852076,6.036927654046893,6.0
7,1983.75,1.2779674751657795,10.725307508935774,0.6838775466445278,5.168788266882649,0.7203582332443181,197.0,-0.899009641663329,5.722052254361263,7.0
8,1983.75,1.0785060070525578,11.929281238920565,1.7974013923912573,7.588518092086789,1.096104798299009,228.0,-1.8893747995039576,6.993735256455008,8.0
9,1983.75,0.8554905659546476,14.599094922748527,3.6415422297549385,11.280929538519697,1.9199365994734596,258.5,-8.623250678611528,9.22283638999434,9.0
10,1983.75,1.1319390941463738,16.71419326129479,5.488658585423269,15.612808644732745,2.747213591557605,289.0,-7.245413467331375,11.22614186481943,10.0
11,1983.75,0.9882347180245737,18.844123966671088,7.29444478801225,19.83392199540902,3.730778859923084,319.5,-11.421876223513625,13.190897829045557,11.0
12,1983.75,1.195080079102567,20.46664997716421,9.479661022858835,20.614750690501875,4.166576504999129,350.0,-14.335332896239109,15.13750335156927,12.0
