,date,precip_class,temp_class,rest,rest_per,year,month,precip_class_prev
0,2025-07-01,A,A,0.0,0.0,2024,7,A
1,2025-08-01,D,A,0.0,0.0,2024,8,A
2,2025-09-01,A,A,0.1384562670417198,0.7,2024,9,D
3,2025-10-01,A,A,1e-08,0.5,2024,10,A
4,2025-11-01,A,A,1e-08,0.5,2024,11,A
5,2025-12-01,W,A,0.1213470907790358,0.8,2024,12,A
6,2026-01-01,W,A,0.5201951850946966,0.9,2025,1,W
7,2026-02-01,A,H,0.644869892925161,0.8,2025,2,W
8,2026-03-01,A,A,0.3040816738254581,0.5,2025,3,A
9,2026-04-01,A,A,0.4920027082819732,0.8,2025,4,A
10,2026-05-01,W,A,0.0,0.0,2025,5,A
11,2026-06-01,A,H,0.0,0.0,2025,6,W
