,rsl-061803bad
ID,rsl-061803
log10_prob_irrigated,-13.499197492079375
log10_prob_dryland,-6.9763187467990395
oxford-dryland_pg_yr1,1625.579775599147
oxford-dryland_pg_m07,0.0
oxford-dryland_pg_m08,0.0
oxford-dryland_pg_m09,186.88787935152445
oxford-dryland_pg_m10,505.74609292221476
oxford-dryland_pg_m11,428.4646683225839
oxford-dryland_pg_m12,17.94825126831098
oxford-dryland_pg_m01,52.22310714560692
oxford-dryland_pg_m02,83.44623187221713
oxford-dryland_pg_m03,17.372675196764924
oxford-dryland_pg_m04,179.5788439584169
oxford-dryland_pg_m05,153.72783611205725
oxford-dryland_pg_m06,0.1841894494498437
eyrewell-irrigated_pg_yr1,12638.207027662862
eyrewell-irrigated_pg_m07,10.607300352777386
eyrewell-irrigated_pg_m08,24.680267892622357
eyrewell-irrigated_pg_m09,697.630099204478
eyrewell-irrigated_pg_m10,1480.0701762476053
eyrewell-irrigated_pg_m11,2251.477078546655
eyrewell-irrigated_pg_m12,2698.289543947372
eyrewell-irrigated_pg_m01,2604.524776443301
eyrewell-irrigated_pg_m02,1248.4505364051065
eyrewell-irrigated_pg_m03,588.7959338535626
eyrewell-irrigated_pg_m04,662.4254964268586
eyrewell-irrigated_pg_m05,294.7744963254045
eyrewell-irrigated_pg_m06,76.48132201712
oxford-irrigated_pg_yr1,10912.759928196168
oxford-irrigated_pg_m07,0.4881046239818522
oxford-irrigated_pg_m08,0.0
oxford-irrigated_pg_m09,128.1728833122257
oxford-irrigated_pg_m10,1019.0858786405339
oxford-irrigated_pg_m11,1816.7541582188358
oxford-irrigated_pg_m12,2300.5882209923807
oxford-irrigated_pg_m01,2492.6944984457746
oxford-irrigated_pg_m02,1422.1418718425327
oxford-irrigated_pg_m03,868.1180708346192
oxford-irrigated_pg_m04,666.266955363774
oxford-irrigated_pg_m05,187.13467803890708
oxford-irrigated_pg_m06,11.314607882603488
eyrewell-store400_pg_yr1,14079.344841004195
eyrewell-store400_pg_m07,4.1989865004396165
eyrewell-store400_pg_m08,21.111022313846135
eyrewell-store400_pg_m09,702.2207942885265
eyrewell-store400_pg_m10,1506.6500850826299
eyrewell-store400_pg_m11,2285.4935992992446
eyrewell-store400_pg_m12,2737.2250276346927
eyrewell-store400_pg_m01,2883.9231656646357
eyrewell-store400_pg_m02,1856.4806414244101
eyrewell-store400_pg_m03,827.4207019856858
eyrewell-store400_pg_m04,816.0694383835415
eyrewell-store400_pg_m05,341.6666454260256
eyrewell-store400_pg_m06,96.88473300052003
oxford-store400_pg_yr1,12194.457139714094
oxford-store400_pg_m07,0.0
oxford-store400_pg_m08,0.0
oxford-store400_pg_m09,90.54778334741643
oxford-store400_pg_m10,1056.50925017873
oxford-store400_pg_m11,1882.2085361339775
oxford-store400_pg_m12,2358.253549323259
oxford-store400_pg_m01,2597.004097743462
oxford-store400_pg_m02,1930.9567432338363
oxford-store400_pg_m03,1234.2536374769936
oxford-store400_pg_m04,810.0306023239796
oxford-store400_pg_m05,218.05272669266495
oxford-store400_pg_m06,16.640213259774587
eyrewell-store600_pg_yr1,14840.497373564871
eyrewell-store600_pg_m07,5.0124205591768485
eyrewell-store600_pg_m08,22.255648564542852
eyrewell-store600_pg_m09,707.2846913748177
eyrewell-store600_pg_m10,1513.7012843475395
eyrewell-store600_pg_m11,2298.324318584175
eyrewell-store600_pg_m12,2754.8987680833648
eyrewell-store600_pg_m01,2901.7375034960337
eyrewell-store600_pg_m02,2142.7930034173905
eyrewell-store600_pg_m03,1079.254508473123
eyrewell-store600_pg_m04,928.0988610775736
eyrewell-store600_pg_m05,370.81043539334706
eyrewell-store600_pg_m06,116.32593019378658
oxford-store600_pg_yr1,12760.85146458593
oxford-store600_pg_m07,0.0
oxford-store600_pg_m08,0.0
oxford-store600_pg_m09,93.26719119087095
oxford-store600_pg_m10,1061.9449779749614
oxford-store600_pg_m11,1891.9381883942388
oxford-store600_pg_m12,2372.8657884089334
oxford-store600_pg_m01,2612.858569551919
oxford-store600_pg_m02,2045.3227454869339
oxford-store600_pg_m03,1526.836544148412
oxford-store600_pg_m04,899.6160767775722
oxford-store600_pg_m05,236.4297207473734
oxford-store600_pg_m06,19.771661904712513
eyrewell-store800_pg_yr1,15501.766456398242
eyrewell-store800_pg_m07,5.233159820109689
eyrewell-store800_pg_m08,22.602994582037407
eyrewell-store800_pg_m09,709.0923840237715
eyrewell-store800_pg_m10,1516.59777237694
eyrewell-store800_pg_m11,2303.3875847231534
eyrewell-store800_pg_m12,2761.720277015515
eyrewell-store800_pg_m01,2908.4391973115276
eyrewell-store800_pg_m02,2276.7546095694943
eyrewell-store800_pg_m03,1422.806433167927
eyrewell-store800_pg_m04,1044.2235886200788
eyrewell-store800_pg_m05,397.4338385910157
eyrewell-store800_pg_m06,133.47461659666962
oxford-store800_pg_yr1,13199.017905789206
oxford-store800_pg_m07,0.0
oxford-store800_pg_m08,0.0
oxford-store800_pg_m09,94.9846714708825
oxford-store800_pg_m10,1065.5100484814373
oxford-store800_pg_m11,1898.2697927675806
oxford-store800_pg_m12,2382.3875530536784
oxford-store800_pg_m01,2623.1084977809346
oxford-store800_pg_m02,2081.4428798689332
oxford-store800_pg_m03,1800.8596315979914
oxford-store800_pg_m04,979.7423753086836
oxford-store800_pg_m05,250.2229744553094
oxford-store800_pg_m06,22.489481003772482
irr_type,bad
