,year,month,precip_class,temp_class,rest
2000-07-01,2000,7,W,C,0
2000-08-01,2000,8,W,C,0
2000-09-01,2000,9,W,C,0
2000-10-01,2000,10,A,A,0
2000-11-01,2000,11,A,A,0
2000-12-01,2000,12,A,A,0
2001-01-01,2001,1,A,A,0
2001-02-01,2001,2,A,A,0
2001-03-01,2001,3,A,A,0
2001-04-01,2001,4,A,A,0
2001-05-01,2001,5,W,C,0
2001-06-01,2001,6,W,C,0
2001-07-01,2001,7,A,C,0
2001-08-01,2001,8,A,C,0
2001-09-01,2001,9,A,A,0
2001-10-01,2001,10,A,A,0
2001-11-01,2001,11,A,A,0
2001-12-01,2001,12,A,A,0
2002-01-01,2002,1,A,A,0
2002-02-01,2002,2,A,A,0
2002-03-01,2002,3,A,A,0
2002-04-01,2002,4,A,A,0
2002-05-01,2002,5,A,C,0
2002-06-01,2002,6,A,C,0
2002-07-01,2002,7,A,C,0
2002-08-01,2002,8,D,C,0
2002-09-01,2002,9,A,A,0
2002-10-01,2002,10,A,A,0
2002-11-01,2002,11,A,A,0
2002-12-01,2002,12,A,A,0
2003-01-01,2003,1,A,A,0
2003-02-01,2003,2,A,A,0
2003-03-01,2003,3,A,A,0
2003-04-01,2003,4,A,A,0
2003-05-01,2003,5,D,C,0
2003-06-01,2003,6,A,A,0
2003-07-01,2003,7,A,C,0
2003-08-01,2003,8,W,A,0
2003-09-01,2003,9,W,A,0
2003-10-01,2003,10,A,A,0
2003-11-01,2003,11,A,A,0
2003-12-01,2003,12,A,A,0
2004-01-01,2004,1,A,A,0
2004-02-01,2004,2,A,A,0
2004-03-01,2004,3,A,A,0
2004-04-01,2004,4,A,A,0
2004-05-01,2004,5,A,A,0
2004-06-01,2004,6,A,A,0
2004-07-01,2004,7,A,C,0
2004-08-01,2004,8,A,A,0
2004-09-01,2004,9,A,A,0
2004-10-01,2004,10,A,A,0
2004-11-01,2004,11,A,A,0
2004-12-01,2004,12,A,A,0
2005-01-01,2005,1,A,A,0
2005-02-01,2005,2,A,A,0
2005-03-01,2005,3,A,A,0
2005-04-01,2005,4,A,A,0
2005-05-01,2005,5,A,A,0
2005-06-01,2005,6,A,A,0
2005-07-01,2005,7,A,C,0
2005-08-01,2005,8,A,A,0
2005-09-01,2005,9,D,A,0
2005-10-01,2005,10,D,A,0
2005-11-01,2005,11,D,A,0
2005-12-01,2005,12,D,A,0
2006-01-01,2006,1,D,A,0
2006-02-01,2006,2,D,A,0
2006-03-01,2006,3,D,A,0
2006-04-01,2006,4,D,A,0
2006-05-01,2006,5,D,A,0
2006-06-01,2006,6,A,A,0
2006-07-01,2006,7,A,C,0
2006-08-01,2006,8,A,A,0
2006-09-01,2006,9,A,A,0
2006-10-01,2006,10,A,A,0
2006-11-01,2006,11,A,A,0
2006-12-01,2006,12,A,A,0
2007-01-01,2007,1,A,A,0
2007-02-01,2007,2,A,A,0
2007-03-01,2007,3,A,A,0
2007-04-01,2007,4,A,A,0
2007-05-01,2007,5,A,A,0
2007-06-01,2007,6,A,A,0
2007-07-01,2007,7,A,C,0
2007-08-01,2007,8,A,A,0
2007-09-01,2007,9,A,A,0
2007-10-01,2007,10,A,A,0
2007-11-01,2007,11,A,A,0
2007-12-01,2007,12,A,H,0
2008-01-01,2008,1,A,H,0
2008-02-01,2008,2,A,H,0
2008-03-01,2008,3,A,H,0
2008-04-01,2008,4,A,A,0
2008-05-01,2008,5,A,A,0
2008-06-01,2008,6,A,A,0
2008-07-01,2008,7,A,C,0
2008-08-01,2008,8,A,A,0
2008-09-01,2008,9,A,A,0
2008-10-01,2008,10,A,A,0
2008-11-01,2008,11,D,H,0
2008-12-01,2008,12,D,H,0
2009-01-01,2009,1,D,H,0
2009-02-01,2009,2,D,H,0
2009-03-01,2009,3,D,H,0
2009-04-01,2009,4,A,A,0
2009-05-01,2009,5,A,A,0
2009-06-01,2009,6,A,A,0
